all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY+Jpsi, 3 , 10, 2249      , 	[0.2, 0.4],		[200.0, 1000],		[-0.0048769088461995125, -0.0004544035473372787, 0.0005307304090820253, 0.006430446170270443]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 732       , 	[0.4, 0.6],		[5.0, 7.0],		[-0.010387481190264225, 2.09612389880931e-05, 0.009749041870236397]
Jpsi   , 10, 10, 8677      , 	[0.4, 0.6],		[5.0, 7.0],		[-0.014860308729112147, -0.0029222385492175817, -0.001817795797251165, -0.0010972509626299145, -0.0005093703512102365, 2.437097464280669e-05, 0.0005544120795093477, 0.0011229979572817683, 0.0018377818632870915, 0.002929840469732881, 0.014950300566852091]
DY+Jpsi, 10, 10, 8824      , 	[0.4, 0.6],		[5.0, 7.0],		[-0.014860308729112147, -0.0029213037341833115, -0.0018175981240347028, -0.0010978527134284377, -0.0005099295522086322, 2.4342882170458324e-05, 0.0005546857137233019, 0.0011229783995077014, 0.001837264047935605, 0.002928855130448937, 0.014950300566852091]
DY     , 3 , 10, 2591      , 	[0.4, 0.6],		[7.0, 10.0],		[-0.011743742041289806, -0.0008484786376357079, 0.0007536046905443072, 0.013642835430800915]
Jpsi   , 10, 10, 6971      , 	[0.4, 0.6],		[7.0, 10.0],		[-0.014762340113520622, -0.002569250296801329, -0.001612114254385233, -0.000982753816060722, -0.00044969894224777823, 1.855646951298695e-05, 0.000493072671815753, 0.0010042214998975396, 0.0016333163948729634, 0.002599020954221487, 0.014952619560062884]
DY+Jpsi, 10, 10, 7749      , 	[0.4, 0.6],		[7.0, 10.0],		[-0.014762340113520622, -0.0025787854101508856, -0.0016180133679881694, -0.0009872898226603866, -0.0004540040681604296, 1.3888182365917599e-05, 0.00048694075667299336, 0.0009947544895112514, 0.0016218207310885189, 0.00258960435166955, 0.014952619560062884]
DY     , 10, 10, 3070      , 	[0.4, 0.6],		[10.0, 14.0],		[-0.01329707633703947, -0.0022830148227512836, -0.0014533245703205466, -0.0008975344244390726, -0.0004527204728219658, -3.103609924437478e-05, 0.00038789957761764526, 0.0008396757766604424, 0.0013844548957422376, 0.002217358909547329, 0.013826890848577023]
Jpsi   , 10, 10, 3815      , 	[0.4, 0.6],		[10.0, 14.0],		[-0.013128193095326424, -0.002293636556714773, -0.0014432735042646527, -0.000872980454005301, -0.00039440064574591815, 3.4221291571157046e-05, 0.00046222895616665477, 0.0009261242230422797, 0.0014875773340463636, 0.0023472304455935955, 0.014446718618273737]
DY+Jpsi, 10, 10, 6886      , 	[0.4, 0.6],		[10.0, 14.0],		[-0.01329707633703947, -0.0022893035784363747, -0.0014464467531070113, -0.000886575726326555, -0.0004214374057482928, 4.94297273689881e-06, 0.0004281981091480702, 0.0008862962131388485, 0.0014414056204259396, 0.002296633319929242, 0.014446718618273737]
DY     , 10, 10, 13629     , 	[0.4, 0.6],		[14.0, 20.0],		[-0.014148494228720665, -0.002083464525640011, -0.0013318361015990376, -0.0008376696496270597, -0.0004220997798256576, -3.70857487723697e-05, 0.00034745584707707167, 0.0007616654620505869, 0.0012617363827303052, 0.002011815784499049, 0.014262729324400425]
