all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 10, 10, 80955     , 	[1.0, 1.25],		[50.0, 75.0],		[-0.014973531477153301, -0.0016207823064178228, -0.0010270405327901244, -0.0006197883049026132, -0.0002779095957521349, 3.9655929867876694e-05, 0.0003572565328795463, 0.0007037323084659874, 0.0011197923449799418, 0.001723920344375074, 0.014886011369526386]
Jpsi   , 2 , 10, 51        , 	[1.0, 1.25],		[50.0, 75.0],		[-0.0034563785884529352, 0.0002572296361904592, 0.0030992678366601467]
DY+Jpsi, 10, 10, 80965     , 	[1.0, 1.25],		[50.0, 75.0],		[-0.014973531477153301, -0.0016207823064178228, -0.0010270171333104372, -0.000619770900812, -0.00027785630663856864, 3.9682610804447904e-05, 0.00035728723742067814, 0.0007037486066110432, 0.001119805732741952, 0.0017239688895642757, 0.014886011369526386]
DY     , 10, 10, 15847     , 	[1.0, 1.25],		[75.0, 100.0],		[-0.014071320183575153, -0.0015588317764922976, -0.0009891869267448783, -0.0005962569848634303, -0.00026641739532351494, 3.8939611840760335e-05, 0.00034359798883087933, 0.0006695616175420582, 0.0010642607230693102, 0.0016448665410280228, 0.014736191369593143]
Jpsi   , 2 , 10, 6         , 	[1.0, 1.25],		[75.0, 100.0],		[-0.002107009990140796, -0.0006588237592950463, 0.0010182829573750496]
DY+Jpsi, 10, 10, 15848     , 	[1.0, 1.25],		[75.0, 100.0],		[-0.014071320183575153, -0.0015588358510285616, -0.0009891869267448783, -0.0005962768336758018, -0.00026641739532351494, 3.8939611840760335e-05, 0.00034358754055574536, 0.0006695556221529841, 0.0010642512934282422, 0.0016448090318590403, 0.014736191369593143]
DY     , 10, 10, 6961      , 	[1.0, 1.25],		[100.0, 150.0],		[-0.009960436262190342, -0.0014998504193499684, -0.0009547829395160079, -0.0005769312265329063, -0.00025385606568306684, 4.893758523394354e-05, 0.0003444227622821927, 0.0006669381400570273, 0.0010561258532106876, 0.0016129733994603157, 0.014538133516907692]
Jpsi   , 2 , 10, 3         , 	[1.0, 1.25],		[100.0, 150.0],		[-0.0026396356988698244, -0.0006868087803013622, 0.0008321690838783978]
DY+Jpsi, 10, 10, 6961      , 	[1.0, 1.25],		[100.0, 150.0],		[-0.009960436262190342, -0.001499946229159832, -0.0009549543610773981, -0.0005770229618065059, -0.00025411645765416324, 4.8871315811993554e-05, 0.0003443922323640436, 0.0006668306887149811, 0.0010560702066868544, 0.001612961757928133, 0.014538133516907692]
DY     , 6 , 10, 2234      , 	[1.0, 1.25],		[150.0, 200.0],		[-0.012451983988285065, -0.001075105625204742, -0.0004169600724708289, 7.368507067440078e-05, 0.0005694499122910202, 0.0012164560612291098, 0.012586226686835289]
Jpsi   , 2 , 10, 1         , 	[1.0, 1.25],		[150.0, 200.0],		[-0.00027734370087273695, -0.0002773437008727342, 8.691510447533801e-05]
DY+Jpsi, 6 , 10, 2235      , 	[1.0, 1.25],		[150.0, 200.0],		[-0.012451983988285065, -0.0010743595194071531, -0.0004167008737567812, 7.427284435834736e-05, 0.0005694499122910202, 0.0012164560612291098, 0.012586226686835289]
DY     , 3 , 10, 2386      , 	[1.0, 1.25],		[200.0, 1000],		[-0.007845576852560043, -0.00043458989239297807, 0.0005454625934362411, 0.013937137089669704]
Jpsi   , -1, 10, 0         , 	[1.0, 1.25],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 10, 2386      , 	[1.0, 1.25],		[200.0, 1000],		[-0.007845576852560043, -0.00043458989239297807, 0.0005454625934362411, 0.013937137089669704]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 3 , 10, 2379      , 	[1.25, 1.5],		[5.0, 7.0],		[-0.014485171064734459, -0.0010456085437908769, 0.0009042763849720359, 0.014680321328341961]
Jpsi   , 10, 10, 9386      , 	[1.25, 1.5],		[5.0, 7.0],		[-0.01474558562040329, -0.003269963199272752, -0.0020158772822469477, -0.0012325788848102093, -0.0006060005980543793, -3.762592314160429e-05, 0.0005365863908082247, 0.001169842085801065, 0.0019467975944280624, 0.0031864475458860397, 0.01488366350531578]
DY+Jpsi, 10, 10, 10100     , 	[1.25, 1.5],		[5.0, 7.0],		[-0.01474558562040329, -0.003277071053162217, -0.002019524574279785, -0.001235216506756842, -0.000609195267315954, -4.03836602345109e-05, 0.0005335969617590308, 0.0011658892035484314, 0.0019404160557314754, 0.003180661704391241, 0.01488366350531578]
DY     , 10, 10, 2514      , 	[1.25, 1.5],		[7.0, 10.0],		[-0.014749767258763313, -0.002848387695848942, -0.0017955298535525799, -0.0011098304530605674, -0.0005752439610660076, -9.054875408764929e-05, 0.00039272042340599, 0.0009464645409025252, 0.0016224997816607356, 0.002677740529179573, 0.014189591631293297]
Jpsi   , 10, 10, 7415      , 	[1.25, 1.5],		[7.0, 10.0],		[-0.014798314310610294, -0.0028121587820351124, -0.0017280381871387362, -0.0010475015733391047, -0.0005095142987556756, -1.2387990864226595e-05, 0.0004867850220762193, 0.0010227076709270477, 0.0017131711356341839, 0.0027827408630400896, 0.01437676977366209]
DY+Jpsi, 10, 10, 9929      , 	[1.25, 1.5],		[7.0, 10.0],		[-0.014798314310610294, -0.002821488305926323, -0.001743133063428104, -0.0010632474441081283, -0.0005253684357739985, -3.4147793485317386e-05, 0.00046501873293891555, 0.0010040848283097148, 0.0016904613003134727, 0.0027583090122789145, 0.01437676977366209]
DY     , 10, 10, 7609      , 	[1.25, 1.5],		[10.0, 14.0],		[-0.01488424837589264, -0.002588720293715596, -0.0016319549176841974, -0.0010118868667632341, -0.0005202937754802406, -7.544482650700957e-05, 0.00036537309642881155, 0.0008452216279692948, 0.0014337925240397453, 0.0023549196776002645, 0.014732145704329014]
Jpsi   , 10, 10, 3954      , 	[1.25, 1.5],		[10.0, 14.0],		[-0.013310365378856659, -0.0025098805781453852, -0.00156699912622571, -0.0009634457528591156, -0.00046878782450221484, -7.289939730981133e-06, 0.0004389752575661987, 0.0009339636308141053, 0.0015544445486739278, 0.0025067529641091824, 0.014672218821942806]
DY+Jpsi, 10, 10, 11563     , 	[1.25, 1.5],		[10.0, 14.0],		[-0.01488424837589264, -0.002564160618931055, -0.001608590129762888, -0.0009953666012734175, -0.0005021537654101849, -5.348052945919335e-05, 0.00039023597491905093, 0.000877370301168412, 0.0014734887517988682, 0.0024065105244517326, 0.014732145704329014]
DY     , 10, 10, 23828     , 	[1.25, 1.5],		[14.0, 20.0],		[-0.014851084910333157, -0.002311766380444169, -0.001450363895855844, -0.000905174994841218, -0.0004669453774113208, -6.254603067645803e-05, 0.00034052733099088073, 0.0007805684581398964, 0.0013117199996486306, 0.0021409832406789064, 0.014997278340160847]
Jpsi   , 8 , 10, 2076      , 	[1.25, 1.5],		[14.0, 20.0],		[-0.014838741160929203, -0.0019921341445297003, -0.0010884100338444114, -0.0005079746479168534, 9.55737050389871e-06, 0.0005181589513085784, 0.0011163972085341813, 0.0019806160125881433, 0.013511931523680687]
DY+Jpsi, 10, 10, 25490     , 	[1.25, 1.5],		[14.0, 20.0],		[-0.014851084910333157, -0.002308448078110814, -0.0014476480428129435, -0.0009013442322611809, -0.0004622963024303317, -5.7599649153416976e-05, 0.0003450845251791179, 0.0007859649485908449, 0.0013186208670958877, 0.0021490848157554865, 0.014997278340160847]
DY     , 10, 10, 45451     , 	[1.25, 1.5],		[20.0, 27.0],		[-0.014996393583714962, -0.002102843951433897, -0.0013282265281304717, -0.0008304368238896132, -0.0004232913488522172, -4.874821024714038e-05, 0.0003259808581788093, 0.0007320498116314411, 0.0012244569370523095, 0.0019684017170220613, 0.014965308830142021]
Jpsi   , 2 , 10, 2281      , 	[1.25, 1.5],		[20.0, 27.0],		[-0.012053085491061209, 6.86808198224753e-05, 0.011222298257052898]
DY+Jpsi, 10, 10, 45907     , 	[1.25, 1.5],		[20.0, 27.0],		[-0.014996393583714962, -0.0021018243860453367, -0.00132735725492239, -0.0008296242449432611, -0.0004219363327138126, -4.753608300234191e-05, 0.0003272367175668478, 0.0007333561079576612, 0.0012253853492438793, 0.0019689109176397324, 0.014965308830142021]
DY     , 10, 10, 117424    , 	[1.25, 1.5],		[27.0, 38.0],		[-0.01496838591992855, -0.0019197887741029263, -0.0012242784723639488, -0.000766181736253202, -0.00038574208156205714, -3.735546852112748e-05, 0.0003096213913522661, 0.0006866816547699273, 0.001140747219324112, 0.0018161959014832973, 0.014994190074503422]
Jpsi   , 2 , 10, 764       , 	[1.25, 1.5],		[27.0, 38.0],		[-0.008149378933012486, 6.373287760652603e-05, 0.008221376687288284]
DY+Jpsi, 10, 10, 117577    , 	[1.25, 1.5],		[27.0, 38.0],		[-0.01496838591992855, -0.0019196649082005024, -0.0012242047814652324, -0.0007660984410904348, -0.00038566856528632343, -3.721149914781563e-05, 0.00030976487323641777, 0.000686800864059478, 0.0011408129939809442, 0.0018164105713367462, 0.014994190074503422]
DY     , 10, 10, 182663    , 	[1.25, 1.5],		[38.0, 50.0],		[-0.0149685675278306, -0.0017436766065657139, -0.0011116075329482555, -0.0006827281322330236, -0.0003277440555393696, 2.011734977713786e-06, 0.00033195887226611376, 0.0006892751553095877, 0.0011186940828338265, 0.0017574713565409184, 0.014973004348576069]
Jpsi   , 2 , 10, 156       , 	[1.25, 1.5],		[38.0, 50.0],		[-0.0042747119441628465, 0.00018405249284114689, 0.0051552122458815575]
DY+Jpsi, 10, 10, 182694    , 	[1.25, 1.5],		[38.0, 50.0],		[-0.0149685675278306, -0.0017436557682231069, -0.0011115778470411897, -0.000682697631418705, -0.0003277001087553799, 2.0388010852911975e-06, 0.00033198579330928624, 0.0006893058307468891, 0.0011187170166522264, 0.0017575406236574054, 0.014973004348576069]
DY     , 10, 10, 73493     , 	[1.25, 1.5],		[50.0, 75.0],		[-0.014926521107554436, -0.001608905615285039, -0.0010193156776949763, -0.0006118074525147676, -0.0002746873360592872, 3.7859659641981125e-05, 0.0003529465466272086, 0.0006939308368600905, 0.0011002462124451995, 0.0017030733870342374, 0.014979896135628223]
Jpsi   , 2 , 10, 48        , 	[1.25, 1.5],		[50.0, 75.0],		[-0.0038404301740229134, 0.00010582385584712027, 0.0037446608766913405]
DY+Jpsi, 10, 10, 73503     , 	[1.25, 1.5],		[50.0, 75.0],		[-0.014926521107554436, -0.0016089266864582896, -0.0010193013586103916, -0.0006117885350249708, -0.00027466181199997663, 3.787477544392459e-05, 0.00035294884582981467, 0.0006939184968359768, 0.0011002052342519164, 0.0017030792078003287, 0.014979896135628223]
DY     , 10, 10, 14136     , 	[1.25, 1.5],		[75.0, 100.0],		[-0.014928440563380718, -0.0015396700473502278, -0.0009805349400267005, -0.000595380668528378, -0.00027146926731802523, 2.726776983763557e-05, 0.00032364021171815693, 0.0006497630965895951, 0.0010334980906918645, 0.001599301933310926, 0.014870261773467064]
Jpsi   , 2 , 10, 6         , 	[1.25, 1.5],		[75.0, 100.0],		[-0.0010784625774249434, -0.0006439982680603862, 0.0022505417000502352]
DY+Jpsi, 10, 10, 14137     , 	[1.25, 1.5],		[75.0, 100.0],		[-0.014928440563380718, -0.0015395975206047297, -0.0009805349400267005, -0.0005954866646789014, -0.00027154572308063507, 2.714155925787054e-05, 0.0003235995536670089, 0.00064963533077389, 0.0010334980906918645, 0.001599301933310926, 0.014870261773467064]
DY     , 10, 10, 6127      , 	[1.25, 1.5],		[100.0, 150.0],		[-0.014874297194182873, -0.0014743683859705925, -0.0009376321104355156, -0.0005600149161182344, -0.00024629730614833534, 4.243578950990923e-05, 0.0003278681542724371, 0.0006421090802177787, 0.0010164558188989758, 0.0015680575743317604, 0.014480974525213242]
Jpsi   , 2 , 10, 0         , 	[1.25, 1.5],		[100.0, 150.0],		[-0.0023221871815622087, -0.0023221871815621853, -0.0023221871815621853]
DY+Jpsi, 10, 10, 6128      , 	[1.25, 1.5],		[100.0, 150.0],		[-0.014874297194182873, -0.0014743683859705925, -0.0009376321104355156, -0.0005600149161182344, -0.00024629730614833534, 4.243578950990923e-05, 0.0003278681542724371, 0.0006421090802177787, 0.0010164558188989758, 0.0015680575743317604, 0.014480974525213242]
DY     , 6 , 10, 2000      , 	[1.25, 1.5],		[150.0, 200.0],		[-0.006491540465503931, -0.0010691194329410791, -0.00042726972606033087, 5.927664824412204e-05, 0.0005418278742581606, 0.0011731601553037763, 0.011150401085615158]
Jpsi   , -1, 10, 0         , 	[1.25, 1.5],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 10, 2000      , 	[1.25, 1.5],		[150.0, 200.0],		[-0.006491540465503931, -0.0010691194329410791, -0.00042726972606033087, 5.927664824412204e-05, 0.0005418278742581606, 0.0011731601553037763, 0.011150401085615158]
DY     , 3 , 10, 2086      , 	[1.25, 1.5],		[200.0, 1000],		[-0.010238021612167358, -0.00045959450653754175, 0.0005110162892378867, 0.011308014392852783]
Jpsi   , -1, 10, 0         , 	[1.25, 1.5],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 10, 2086      , 	[1.25, 1.5],		[200.0, 1000],		[-0.010238021612167358, -0.00045959450653754175, 0.0005110162892378867, 0.011308014392852783]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 4 , 10, 2472      , 	[1.5, 1.75],		[5.0, 7.0],		[-0.014683384448289871, -0.00158418039791286, -3.3839365642052144e-05, 0.0016258282121270895, 0.01490934006869793]
Jpsi   , 10, 10, 9321      , 	[1.5, 1.75],		[5.0, 7.0],		[-0.014976296573877338, -0.003340853145346045, -0.002031273907050491, -0.0012260157382115722, -0.0005761812208220363, 1.7332911738776602e-05, 0.0006113176932558418, 0.0012658094055950642, 0.002076098695397377, 0.0033937538973987107, 0.014968840405344963]
DY+Jpsi, 10, 10, 10310     , 	[1.5, 1.75],		[5.0, 7.0],		[-0.014976296573877338, -0.0033449027687311172, -0.002028618706390261, -0.0012263560201972725, -0.0005796473706141113, 1.2012295883323532e-05, 0.0006053756806068122, 0.001263981219381094, 0.0020757026504725213, 0.003390478203073144, 0.014968840405344963]
DY     , 10, 10, 3182      , 	[1.5, 1.75],		[7.0, 10.0],		[-0.014401329681277275, -0.0028624851256608963, -0.001768105779774487, -0.0010698529658839107, -0.0005151348887011409, -3.2545445719733834e-05, 0.00048469373723492026, 0.0010411873226985335, 0.0017369143897667527, 0.0028388795908540487, 0.014553124085068703]
Jpsi   , 10, 10, 7202      , 	[1.5, 1.75],		[7.0, 10.0],		[-0.014538939110934734, -0.002874927595257759, -0.0017519125249236822, -0.001051203114911914, -0.00048326014075428253, 2.1002557332394645e-05, 0.0005291737616062164, 0.0010891411220654843, 0.0017966569866985087, 0.0029203922022134066, 0.0149911567568779]
DY+Jpsi, 10, 10, 10384     , 	[1.5, 1.75],		[7.0, 10.0],		[-0.014538939110934734, -0.002870712662115693, -0.001758079743012786, -0.001058095251210034, -0.0004929761053062974, 7.048908173601376e-06, 0.0005164716858416796, 0.0010738407727330923, 0.0017767271492630245, 0.0028960187919437885, 0.0149911567568779]
DY     , 10, 10, 8936      , 	[1.5, 1.75],		[10.0, 14.0],		[-0.014952296391129494, -0.002542651491239667, -0.0015682083321735263, -0.000973744667135179, -0.0004809205129276961, -3.568884858395904e-05, 0.0004032595898024738, 0.0008891437319107354, 0.001484357169829309, 0.002442828146740794, 0.014196845702826977]
Jpsi   , 10, 10, 3822      , 	[1.5, 1.75],		[10.0, 14.0],		[-0.014040098525583744, -0.0024759317748248573, -0.0015258934581652286, -0.0009061330929398537, -0.00042139791185036296, 2.7640286134555932e-05, 0.00047183348215185106, 0.000963715254329145, 0.0015732009196653962, 0.002547202399000525, 0.013917996548116207]
DY+Jpsi, 10, 10, 12758     , 	[1.5, 1.75],		[10.0, 14.0],		[-0.014952296391129494, -0.0025222727563232183, -0.0015552585246041417, -0.0009540390456095338, -0.00046159804333001375, -1.689303280727472e-05, 0.00042186060454696417, 0.0009120862814597785, 0.001510545378550887, 0.0024753198958933353, 0.014196845702826977]
DY     , 10, 10, 24353     , 	[1.5, 1.75],		[14.0, 20.0],		[-0.014957195147871971, -0.002248300239443779, -0.0014092278433963656, -0.0008644538465887308, -0.00042474374640733004, -2.233565646747593e-05, 0.00037535137380473316, 0.0008086863672360778, 0.001345736556686461, 0.002172033069655299, 0.01405408326536417]
Jpsi   , 7 , 10, 2255      , 	[1.5, 1.75],		[14.0, 20.0],		[-0.01337455864995718, -0.0017821263754740355, -0.0009071018430404363, -0.00026637481641955674, 0.00028324560844339436, 0.0009276127093471588, 0.001797097153030336, 0.010733168572187424]
DY+Jpsi, 10, 10, 25932     , 	[1.5, 1.75],		[14.0, 20.0],		[-0.014957195147871971, -0.0022450867109000683, -0.001406459603458643, -0.0008628248469904065, -0.00042255359585396945, -1.9730279745999724e-05, 0.0003767649468500167, 0.0008117376128211617, 0.0013494949089363217, 0.002173773944377899, 0.01405408326536417]
DY     , 10, 10, 44251     , 	[1.5, 1.75],		[20.0, 27.0],		[-0.014644834212958813, -0.002044328022748232, -0.0012864507734775543, -0.0007960425573401153, -0.00039280822966247797, -2.3627349946764298e-05, 0.00034729999606497586, 0.0007462981739081442, 0.0012320111272856593, 0.0019645821303129196, 0.0143353920429945]
Jpsi   , 2 , 10, 2069      , 	[1.5, 1.75],		[20.0, 27.0],		[-0.009591607376933098, 5.4875628848094486e-05, 0.008982601575553417]
DY+Jpsi, 10, 10, 44664     , 	[1.5, 1.75],		[20.0, 27.0],		[-0.014644834212958813, -0.002043322427198291, -0.0012861151481047273, -0.0007955733453854918, -0.0003921211464330554, -2.295807280461304e-05, 0.00034845975460484624, 0.0007472168654203415, 0.0012333951890468597, 0.001966210315003991, 0.0143353920429945]
DY     , 10, 10, 108600    , 	[1.5, 1.75],		[27.0, 38.0],		[-0.014686336740851402, -0.0018786359578371048, -0.001192261464893818, -0.000740618968848139, -0.00036605430068448186, -1.930553662532475e-05, 0.0003247896092943847, 0.0006969167152419686, 0.00114737160038203, 0.0018215756863355637, 0.014245981350541115]
Jpsi   , 2 , 10, 694       , 	[1.5, 1.75],		[27.0, 38.0],		[-0.0067500732839107505, 5.030690590501763e-05, 0.005966839380562306]
DY+Jpsi, 10, 10, 108739    , 	[1.5, 1.75],		[27.0, 38.0],		[-0.014686336740851402, -0.0018784796120598912, -0.0011921453988179564, -0.0007404374773614109, -0.00036595159326680005, -1.919040732900612e-05, 0.0003248758730478585, 0.000697051698807627, 0.0011476094368845224, 0.0018217401811853051, 0.014245981350541115]
DY     , 10, 10, 162854    , 	[1.5, 1.75],		[38.0, 50.0],		[-0.01491539180278778, -0.0017294903518632054, -0.0010984280379489064, -0.0006738126976415515, -0.0003216504992451519, 4.660883405449567e-06, 0.00033269592677243054, 0.0006860318826511502, 0.0011101186973974109, 0.0017419012729078531, 0.014657230116426945]
Jpsi   , 2 , 10, 144       , 	[1.5, 1.75],		[38.0, 50.0],		[-0.0060081183910369864, -0.00023338269966188818, 0.005139357876032591]
DY+Jpsi, 10, 10, 162883    , 	[1.5, 1.75],		[38.0, 50.0],		[-0.01491539180278778, -0.0017295066500082612, -0.0010984322289004922, -0.0006738433730788529, -0.0003216827753931284, 4.6232607928686775e-06, 0.00033265288220718503, 0.0006859815330244601, 0.0011100834235548973, 0.0017418701900169253, 0.014657230116426945]
DY     , 10, 10, 65443     , 	[1.5, 1.75],		[50.0, 75.0],		[-0.013692887499928474, -0.0016108757117763162, -0.0010253170039504766, -0.0006234924658201635, -0.0002858834632206708, 2.5738047042977996e-05, 0.00033825269201770425, 0.0006757827941328287, 0.0010818153386935592, 0.0016758241690695286, 0.014865639619529247]
Jpsi   , 2 , 10, 37        , 	[1.5, 1.75],		[50.0, 75.0],		[-0.004043708089739084, 0.00017144292360171676, 0.0044236164540052405]
DY+Jpsi, 10, 10, 65450     , 	[1.5, 1.75],		[50.0, 75.0],		[-0.013692887499928474, -0.0016109176212921739, -0.0010253346990793943, -0.0006234927568584681, -0.000285873597022146, 2.5769682906684466e-05, 0.00033827548031695187, 0.0006758169620297849, 0.0010818204609677196, 0.0016758479177951813, 0.014865639619529247]
DY     , 10, 10, 12382     , 	[1.5, 1.75],		[75.0, 100.0],		[-0.010335455648601055, -0.0015264274552464485, -0.0009800121188163757, -0.0005948335165157914, -0.0002697247837204486, 2.569696880527772e-05, 0.0003225581021979451, 0.0006444035680033267, 0.0010250795166939497, 0.0015765506541356444, 0.010198169387876987]
Jpsi   , 2 , 10, 5         , 	[1.5, 1.75],		[75.0, 100.0],		[-0.0024058823473751545, 0.00037594433524645865, 0.0015873040538281202]
DY+Jpsi, 10, 10, 12383     , 	[1.5, 1.75],		[75.0, 100.0],		[-0.010335455648601055, -0.001526777632534504, -0.0009800121188163757, -0.0005948335165157914, -0.00026968689053319395, 2.571227196312975e-05, 0.0003225998370908201, 0.0006444379105232656, 0.0010250795166939497, 0.0015765506541356444, 0.010198169387876987]
DY     , 10, 10, 5300      , 	[1.5, 1.75],		[100.0, 150.0],		[-0.0077274092473089695, -0.001486111432313919, -0.0009482852765358984, -0.000574978650547564, -0.00026313765556551516, 2.2617974536842667e-05, 0.00030753688770346344, 0.0006229661521501839, 0.0009969115490093827, 0.0015361419646069407, 0.01132197305560112]
Jpsi   , 2 , 10, 1         , 	[1.5, 1.75],		[100.0, 150.0],		[-0.0006177378818392815, -0.0006177378818392754, 0.0006157203461043537]
DY+Jpsi, 10, 10, 5301      , 	[1.5, 1.75],		[100.0, 150.0],		[-0.0077274092473089695, -0.0014858668437227607, -0.0009482742170803249, -0.000574978650547564, -0.00026313765556551516, 2.2617974536842667e-05, 0.00030753688770346344, 0.0006229530554264784, 0.0009968848899006844, 0.0015361221740022302, 0.01132197305560112]
DY     , 5 , 10, 2013      , 	[1.5, 1.75],		[150.0, 200.0],		[-0.005310367327183485, -0.0009036746923811734, -0.00021676493634004146, 0.00033126401831395924, 0.0009890905348584056, 0.005780584178864956]
Jpsi   , 2 , 10, 0         , 	[1.5, 1.75],		[150.0, 200.0],		[-0.0010346784256398782, -0.0010346784256398678, -0.0010346784256398678]
DY+Jpsi, 5 , 10, 2013      , 	[1.5, 1.75],		[150.0, 200.0],		[-0.005310367327183485, -0.0009039515280164778, -0.00021682512306142598, 0.00033116110716946423, 0.0009890905348584056, 0.005780584178864956]
DY     , 2 , 10, 2489      , 	[1.5, 1.75],		[200.0, 1000],		[-0.0041612740606069565, 4.157933290116489e-05, 0.006159595213830471]
Jpsi   , 2 , 10, 0         , 	[1.5, 1.75],		[200.0, 1000],		[0.000517965236213053, 0.0005179652362130582, 0.0005179652362130582]
DY+Jpsi, 2 , 10, 2489      , 	[1.5, 1.75],		[200.0, 1000],		[-0.0041612740606069565, 4.157933290116489e-05, 0.006159595213830471]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 6 , 10, 2141      , 	[1.75, 2.0],		[5.0, 7.0],		[-0.014965935610234737, -0.0025629247538745403, -0.0010846996447071433, 1.2058017091476358e-05, 0.001072100829333067, 0.002555111888796091, 0.013538827188313007]
Jpsi   , 10, 10, 8644      , 	[1.75, 2.0],		[5.0, 7.0],		[-0.014918817207217216, -0.0035719135776162148, -0.0021530066151171927, -0.0012742338003590705, -0.0005873923655599357, 4.910642019240186e-05, 0.0006679807556793094, 0.0013532142620533705, 0.0022438326850533485, 0.0036855069920420647, 0.014958814717829227]
DY+Jpsi, 10, 10, 9929      , 	[1.75, 2.0],		[5.0, 7.0],		[-0.014965935610234737, -0.0035791199188679452, -0.0021605216898024082, -0.001280627679079771, -0.0005919038085266948, 4.502323645283468e-05, 0.0006648370763286947, 0.0013488904805853965, 0.002236906439065933, 0.003666558302938938, 0.014958814717829227]
DY     , 10, 10, 3836      , 	[1.75, 2.0],		[7.0, 10.0],		[-0.014001770876348019, -0.00305029284209013, -0.001854448695667088, -0.0011117442045360804, -0.0005299823824316263, -7.0278179009619635e-06, 0.0005185275222174823, 0.0011001285165548325, 0.0018526111962273717, 0.0030767677817493677, 0.014956035651266575]
Jpsi   , 10, 10, 6855      , 	[1.75, 2.0],		[7.0, 10.0],		[-0.014943300746381285, -0.00307279615662992, -0.0018641415517777202, -0.0010988517897203565, -0.000511040969286114, 3.9319445932051174e-05, 0.000582402921281755, 0.001169246854260564, 0.0019318506820127368, 0.003180396277457476, 0.014893888495862484]
DY+Jpsi, 10, 10, 10692     , 	[1.75, 2.0],		[7.0, 10.0],		[-0.014943300746381285, -0.003066379576921463, -0.0018605204531922936, -0.0011043435661122203, -0.000517297419719398, 2.3328264433075674e-05, 0.0005586926708929241, 0.001146707101725042, 0.0019024189095944166, 0.003146036760881543, 0.014956035651266575]
DY     , 10, 10, 9925      , 	[1.75, 2.0],		[10.0, 14.0],		[-0.014770432375371456, -0.0026716156862676144, -0.0016395475249737501, -0.0009936308488249779, -0.00047625895240344107, -1.2111047908547334e-05, 0.00045958362170495093, 0.0009704880649223924, 0.001610424485988915, 0.0026473395992070436, 0.014713536947965622]
Jpsi   , 10, 10, 3650      , 	[1.75, 2.0],		[10.0, 14.0],		[-0.01383208204060793, -0.002634799107909202, -0.0015762485563755035, -0.0009238392231054604, -0.0004054435121361166, 7.433781138388441e-05, 0.0005498312530107796, 0.00106205849442631, 0.0017366647953167558, 0.002834465354681015, 0.013048511929810049]
DY+Jpsi, 10, 10, 13576     , 	[1.75, 2.0],		[10.0, 14.0],		[-0.014770432375371456, -0.0026615120004862547, -0.0016221675323322415, -0.0009740932146087289, -0.0004577773215714842, 1.0939224011963232e-05, 0.0004839339526370168, 0.000995855312794447, 0.0016422142507508395, 0.002692457055673003, 0.014713536947965622]
DY     , 10, 10, 24603     , 	[1.75, 2.0],		[14.0, 20.0],		[-0.014490614645183086, -0.002351536648347974, -0.0014476727228611708, -0.0008787607657723129, -0.0004224571748636663, -6.054965069779428e-06, 0.0004120343364775181, 0.0008641945896670222, 0.00143143639434129, 0.0023188891354948282, 0.014145494438707829]
Jpsi   , 7 , 10, 2154      , 	[1.75, 2.0],		[14.0, 20.0],		[-0.010697406716644764, -0.0019038155442103746, -0.0009260086808353662, -0.0002852297038771212, 0.00029188237385824317, 0.0009547856752760707, 0.0019382666796445849, 0.009739061817526816]
DY+Jpsi, 10, 10, 26111     , 	[1.75, 2.0],		[14.0, 20.0],		[-0.014490614645183086, -0.002351412083953619, -0.0014461769023910165, -0.0008774834568612278, -0.00042149043292738497, -6.2271546994452365e-06, 0.00041183966095559304, 0.0008651508251205087, 0.0014333969447761774, 0.002323898021131754, 0.014145494438707829]
DY     , 10, 10, 42987     , 	[1.75, 2.0],		[20.0, 27.0],		[-0.013108443468809128, -0.002119651297107339, -0.0013213148340582848, -0.0008093012729659677, -0.00039621422183699906, -1.2184522347524762e-05, 0.00036903657019138336, 0.0007857786840759218, 0.001299479859881103, 0.002086910419166088, 0.014154232107102871]
Jpsi   , 2 , 10, 1953      , 	[1.75, 2.0],		[20.0, 27.0],		[-0.010368633083999157, 5.7657543948153025e-06, 0.00972349476069212]
DY+Jpsi, 10, 10, 43378     , 	[1.75, 2.0],		[20.0, 27.0],		[-0.013108443468809128, -0.00211901031434536, -0.0013209752505645156, -0.0008090774645097554, -0.0003960313042625785, -1.1984817319898866e-05, 0.0003692776954267174, 0.0007864048820920289, 0.0012999811442568898, 0.002087299944832921, 0.014154232107102871]
