all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY+Jpsi, 12, 12, 150237    , 	[0.4, 0.6],		[38.0, 50.0],		[-0.014857066795229912, -0.0018414714140817523, -0.0012596126180142164, -0.0008687585359439254, -0.0005488984170369804, -0.00026419779169373214, 6.7615160332934465e-06, 0.00027818477246910334, 0.0005632580723613501, 0.0008812822052277625, 0.00127411971334368, 0.0018580455798655748, 0.014290482737123966]
DY     , 12, 12, 61043     , 	[0.4, 0.6],		[50.0, 75.0],		[-0.014272288419306278, -0.0017562324646860361, -0.001198920188471675, -0.0008197065908461809, -0.0005109573248773813, -0.00023540420806966722, 2.7256370231043547e-05, 0.0002881904074456543, 0.000563538633286953, 0.0008743674261495471, 0.0012529573868960142, 0.0018156148726120591, 0.014281384646892548]
Jpsi   , 2 , 12, 53        , 	[0.4, 0.6],		[50.0, 75.0],		[-0.004004579968750478, 0.00014649571676272902, 0.0030386277940124273]
DY+Jpsi, 12, 12, 61051     , 	[0.4, 0.6],		[50.0, 75.0],		[-0.014272288419306278, -0.0017562415450811386, -0.0011989317135885358, -0.0008197454735636711, -0.0005109749617986381, -0.0002354042517254129, 2.7280828362563625e-05, 0.0002882102853618562, 0.0005635486450046301, 0.0008743692305870354, 0.0012529732193797827, 0.0018156111473217607, 0.014281384646892548]
DY     , 12, 12, 12263     , 	[0.4, 0.6],		[75.0, 100.0],		[-0.014436623081564903, -0.0017189044738188386, -0.0011743708746507764, -0.0008105958695523441, -0.0005090617341920733, -0.00023811902792658657, 2.2539961719303392e-05, 0.0002826137060765177, 0.0005494134966284037, 0.0008522209827788174, 0.0012206551618874073, 0.0017733910353854299, 0.011442111805081367]
Jpsi   , 2 , 12, 7         , 	[0.4, 0.6],		[75.0, 100.0],		[-0.0018153203418478372, -2.4905579266487617e-05, 0.0009319439996033908]
DY+Jpsi, 12, 12, 12264     , 	[0.4, 0.6],		[75.0, 100.0],		[-0.014436623081564903, -0.0017189044738188386, -0.0011743357172235847, -0.0008105516899377108, -0.0005090617341920733, -0.00023808429250493646, 2.2539961719303392e-05, 0.0002826137060765177, 0.0005493956268765032, 0.0008521624258719385, 0.0012205146485939622, 0.0017733511049300432, 0.011442111805081367]
DY     , 12, 12, 5420      , 	[0.4, 0.6],		[100.0, 150.0],		[-0.010209574364125729, -0.0016567741986364126, -0.0011365014361217618, -0.0007707593613304198, -0.00047839953913353384, -0.0002139832213288173, 3.601364005589858e-05, 0.00028672112966887653, 0.000548629614058882, 0.0008441995014436543, 0.00121868506539613, 0.00176962127443403, 0.01086118072271347]
Jpsi   , 2 , 12, 0         , 	[0.4, 0.6],		[100.0, 150.0],		[-0.0007466655806638374, -0.0007466655806638299, -0.0007466655806638299]
DY+Jpsi, 12, 12, 5420      , 	[0.4, 0.6],		[100.0, 150.0],		[-0.010209574364125729, -0.0016567741986364126, -0.0011365014361217618, -0.0007707593613304198, -0.0004784218326676637, -0.00021402571292128414, 3.5984670830657706e-05, 0.00028672112966887653, 0.000548629614058882, 0.0008441995014436543, 0.00121868506539613, 0.00176962127443403, 0.01086118072271347]
DY     , 6 , 12, 2151      , 	[0.4, 0.6],		[150.0, 200.0],		[-0.008816891349852085, -0.0011560514103621244, -0.0004821093170903623, 3.2256673875963315e-05, 0.0005479767569340765, 0.0012056385166943073, 0.009917114861309528]
Jpsi   , -1, 12, 0         , 	[0.4, 0.6],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 12, 2151      , 	[0.4, 0.6],		[150.0, 200.0],		[-0.008816891349852085, -0.0011560514103621244, -0.0004821093170903623, 3.2256673875963315e-05, 0.0005479767569340765, 0.0012056385166943073, 0.009917114861309528]
DY     , 3 , 12, 2190      , 	[0.4, 0.6],		[200.0, 1000],		[-0.004618793725967407, -0.00042099499842152, 0.0005455825594253838, 0.004520893562585115]
Jpsi   , -1, 12, 0         , 	[0.4, 0.6],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 12, 2190      , 	[0.4, 0.6],		[200.0, 1000],		[-0.004618793725967407, -0.00042099499842152, 0.0005455825594253838, 0.004520893562585115]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 12, 1101      , 	[0.6, 0.8],		[5.0, 7.0],		[-0.014753639698028564, 2.4640488845761865e-05, 0.013790409080684185]
Jpsi   , 12, 12, 7028      , 	[0.6, 0.8],		[5.0, 7.0],		[-0.014736802317202091, -0.003215464297682047, -0.0021263069938868284, -0.0014497566735371947, -0.0009133860585279764, -0.00044276786502450715, -6.77879506838508e-06, 0.00042952829971909523, 0.0009025693289004265, 0.0014630634104833007, 0.002154010580852628, 0.0032829593401402235, 0.014990637078881262]
DY+Jpsi, 12, 12, 7211      , 	[0.6, 0.8],		[5.0, 7.0],		[-0.014753639698028564, -0.003214643569663167, -0.0021273239981383085, -0.001450594048947096, -0.0009130432154051961, -0.0004424585495144129, -5.944535132584861e-06, 0.00043039105366915454, 0.0009011965012177824, 0.0014616486150771382, 0.0021513800602406268, 0.003279146505519748, 0.014990637078881262]
DY     , 4 , 12, 2482      , 	[0.6, 0.8],		[7.0, 10.0],		[-0.01036922074854374, -0.0012871775543317199, -5.855382596564596e-07, 0.0012462867889553308, 0.012607990764081478]
Jpsi   , 12, 12, 5651      , 	[0.6, 0.8],		[7.0, 10.0],		[-0.01469598710536957, -0.0028357694391161203, -0.0018883846933022141, -0.001271674525924027, -0.0007940910290926695, -0.0003780168481171131, 1.9497450921335254e-05, 0.00040670897578820586, 0.0008248895173892379, 0.0013035184238106012, 0.0019212361657992003, 0.0028772468212991953, 0.01419947389513254]
DY+Jpsi, 12, 12, 6479      , 	[0.6, 0.8],		[7.0, 10.0],		[-0.01469598710536957, -0.002828678349032998, -0.0018876700196415184, -0.001272964058443904, -0.0007964156102389097, -0.00037807755870744586, 1.6470703485538255e-05, 0.000404886290198192, 0.0008210759842768313, 0.0012963281478732824, 0.001910781254991889, 0.0028584490064531565, 0.01419947389513254]
DY     , 12, 12, 3009      , 	[0.6, 0.8],		[10.0, 14.0],		[-0.013583353720605373, -0.0025393818505108356, -0.0017011140007525682, -0.0011624338803812861, -0.0007386345532722771, -0.0003640101058408618, -2.0046996723976918e-05, 0.0003279494121670723, 0.0007037138566374779, 0.001118816900998354, 0.0016453965799883008, 0.002456583082675934, 0.013668534345924854]
Jpsi   , 12, 12, 3126      , 	[0.6, 0.8],		[10.0, 14.0],		[-0.014318356290459631, -0.002521174028515816, -0.001686958596110344, -0.0011470305034890769, -0.0007118718349374831, -0.00033152152900584037, 1.21832599688787e-05, 0.00038293877150863414, 0.0007596890209242703, 0.0011884975247085097, 0.0017307569505646825, 0.002565872156992555, 0.013408484868705273]
DY+Jpsi, 12, 12, 6136      , 	[0.6, 0.8],		[10.0, 14.0],		[-0.014318356290459631, -0.002531547797843814, -0.001694669364951551, -0.0011529421899467707, -0.0007256935350596905, -0.00034747092286124825, -1.9440103642409667e-06, 0.00035668956115841866, 0.0007298701093532145, 0.0011554000666365027, 0.001689390861429274, 0.0025182992685586214, 0.013668534345924854]
DY     , 12, 12, 12806     , 	[0.6, 0.8],		[14.0, 20.0],		[-0.014573676511645317, -0.0022888153325766325, -0.0015497818822041154, -0.0010753631358966231, -0.0006934494595043361, -0.0003507119254209101, -3.0173861887305975e-05, 0.0002877861843444407, 0.0006272347527556121, 0.001008448889479041, 0.001484038308262825, 0.002210587728768587, 0.013181067071855068]
Jpsi   , 7 , 12, 2221      , 	[0.6, 0.8],		[14.0, 20.0],		[-0.011774599552154541, -0.0016860533505678175, -0.0008712642593309282, -0.0002524091105442494, 0.0002961416612379253, 0.0009212568402290344, 0.0017658033175393941, 0.011428432539105415]
DY+Jpsi, 12, 12, 14101     , 	[0.6, 0.8],		[14.0, 20.0],		[-0.014573676511645317, -0.0022845144849270582, -0.001547324238345027, -0.0010729876812547445, -0.00069019990041852, -0.00034664745908230543, -2.6221576263196766e-05, 0.00029266069759614766, 0.0006326228613033891, 0.0010161811951547861, 0.0014922941336408257, 0.0022228567395359278, 0.013181067071855068]
DY     , 12, 12, 34064     , 	[0.6, 0.8],		[20.0, 27.0],		[-0.01498361025005579, -0.0020986914169043303, -0.0014304593205451965, -0.0009897751733660698, -0.0006321706459857523, -0.0003171743010170758, -2.179281182179693e-05, 0.0002792356535792351, 0.0005944867734797299, 0.0009502104367129505, 0.0013896734453737736, 0.002062085084617138, 0.014990939758718014]
Jpsi   , 2 , 12, 2190      , 	[0.6, 0.8],		[20.0, 27.0],		[-0.009816702455282213, 2.819784458552021e-05, 0.011713492684066296]
DY+Jpsi, 12, 12, 34430     , 	[0.6, 0.8],		[20.0, 27.0],		[-0.01498361025005579, -0.0020977240055799484, -0.001429511234164238, -0.0009890679502859712, -0.0006317219231277704, -0.00031686658621765673, -2.1373114577727392e-05, 0.00027981342282146215, 0.0005948903854005039, 0.0009508815710432827, 0.0013900200137868524, 0.0020621782168745995, 0.014990939758718014]
DY     , 12, 12, 104905    , 	[0.6, 0.8],		[27.0, 38.0],		[-0.014946953393518925, -0.0019550861325114965, -0.0013361222809180617, -0.0009279216756112874, -0.000595996156334877, -0.00029966290458105505, -1.7867065253085457e-05, 0.0002631997049320489, 0.0005593547248281538, 0.0008924557478167117, 0.0013017107266932726, 0.0019118727650493383, 0.014829901047050953]
Jpsi   , 2 , 12, 707       , 	[0.6, 0.8],		[27.0, 38.0],		[-0.007638200651854277, 8.419257210334763e-05, 0.007846208289265633]
DY+Jpsi, 12, 12, 105023    , 	[0.6, 0.8],		[27.0, 38.0],		[-0.014946953393518925, -0.001955022569745779, -0.0013361024903133512, -0.0009278866345994174, -0.0005959649570286274, -0.00029958898085169494, -1.7750297047314234e-05, 0.0002633233380038291, 0.0005594069953076541, 0.00089253019541502, 0.0013016493758186698, 0.0019118727650493383, 0.014829901047050953]
DY     , 12, 12, 147334    , 	[0.6, 0.8],		[38.0, 50.0],		[-0.014589542523026466, -0.0018440592102706432, -0.0012596864253282547, -0.0008698080200701952, -0.0005519192200154066, -0.00026757450541481376, 3.2762732189439703e-06, 0.000273235171334818, 0.0005587395280599594, 0.0008780517964623868, 0.0012698217760771513, 0.0018548246007412672, 0.014873674139380455]
Jpsi   , 2 , 12, 158       , 	[0.6, 0.8],		[38.0, 50.0],		[-0.006142206955701114, -9.557743396726435e-06, 0.006155488546937704]
DY+Jpsi, 12, 12, 147361    , 	[0.6, 0.8],		[38.0, 50.0],		[-0.014589542523026466, -0.0018440468702465296, -0.0012596969027072191, -0.0008698097080923617, -0.0005519340629689395, -0.00026757572777569294, 3.282698344264645e-06, 0.000273235171334818, 0.0005587395280599594, 0.0008780559874139726, 0.0012698263162747025, 0.001854840200394392, 0.014873674139380455]
DY     , 12, 12, 59457     , 	[0.6, 0.8],		[50.0, 75.0],		[-0.014917423017323017, -0.0017489130841568112, -0.0011938518146052957, -0.0008199216681532562, -0.0005115658277645707, -0.00023842677182983607, 2.4253451556432992e-05, 0.0002872626355383545, 0.0005610458320006728, 0.0008703512721695006, 0.0012471218360587955, 0.0018080631271004677, 0.014445660635828972]
Jpsi   , 2 , 12, 52        , 	[0.6, 0.8],		[50.0, 75.0],		[-0.0027959579601883893, 0.00019553313904907557, 0.004704877268522978]
DY+Jpsi, 12, 12, 59466     , 	[0.6, 0.8],		[50.0, 75.0],		[-0.014917423017323017, -0.0017488731537014246, -0.0011937922099605203, -0.0008199018775485456, -0.0005115536041557789, -0.00023839181812945753, 2.4271346774185076e-05, 0.00028727189055643976, 0.0005610673688352108, 0.000870357733219862, 0.0012471044901758432, 0.0018080163281410933, 0.014445660635828972]
DY     , 12, 12, 11800     , 	[0.6, 0.8],		[75.0, 100.0],		[-0.011739874258637428, -0.001688190852291882, -0.0011514743091538548, -0.0007915941532701254, -0.0004929279093630612, -0.0002271439298056066, 2.5700413971208036e-05, 0.00027660219348035753, 0.0005456546787172556, 0.0008406356209889054, 0.0012065655319020152, 0.0017536929808557034, 0.01365149486809969]
Jpsi   , 2 , 12, 5         , 	[0.6, 0.8],		[75.0, 100.0],		[-0.002261195098981261, 0.000445925077656284, 0.00236638798378408]
DY+Jpsi, 12, 12, 11801     , 	[0.6, 0.8],		[75.0, 100.0],		[-0.011739874258637428, -0.001688190852291882, -0.0011514743091538548, -0.0007915941532701254, -0.0004929279093630612, -0.00022713890939485282, 2.5724710212671198e-05, 0.0002766507968772203, 0.0005457629449665546, 0.0008407473214901984, 0.001206659828312695, 0.0017536929808557034, 0.01365149486809969]
DY     , 12, 12, 5226      , 	[0.6, 0.8],		[100.0, 150.0],		[-0.010415681637823582, -0.001644777599722147, -0.0011223703622817993, -0.0007679537520743906, -0.0004835394793190062, -0.0002185359044233337, 2.8121854484197684e-05, 0.00027745336410589516, 0.0005441264365799725, 0.0008355926838703454, 0.0012011287035420537, 0.0017231808742508292, 0.014562821015715599]
Jpsi   , 2 , 12, 3         , 	[0.6, 0.8],		[100.0, 150.0],		[-0.0006785637233406304, 4.046767935506068e-05, 0.001933412393555045]
DY+Jpsi, 12, 12, 5226      , 	[0.6, 0.8],		[100.0, 150.0],		[-0.010415681637823582, -0.001644777599722147, -0.0011223703622817993, -0.0007679537520743906, -0.00048355720355175436, -0.0002185588382417336, 2.8070207918062806e-05, 0.0002773200976662338, 0.0005439103697426617, 0.0008355299942195415, 0.0012010372010990977, 0.0017231808742508292, 0.014562821015715599]
DY     , 6 , 12, 2086      , 	[0.6, 0.8],		[150.0, 200.0],		[-0.006101589649915695, -0.0011044194689020514, -0.0004567774012684822, 3.20391591230873e-05, 0.0005508918548002839, 0.0011690023820847273, 0.0109481206163764]
Jpsi   , -1, 12, 0         , 	[0.6, 0.8],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 12, 2086      , 	[0.6, 0.8],		[150.0, 200.0],		[-0.006101589649915695, -0.0011044194689020514, -0.0004567774012684822, 3.20391591230873e-05, 0.0005508918548002839, 0.0011690023820847273, 0.0109481206163764]
DY     , 3 , 12, 2081      , 	[0.6, 0.8],		[200.0, 1000],		[-0.006771909072995186, -0.00044826336670666933, 0.0005594171234406531, 0.007686831522732973]
Jpsi   , -1, 12, 0         , 	[0.6, 0.8],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 12, 2081      , 	[0.6, 0.8],		[200.0, 1000],		[-0.006771909072995186, -0.00044826336670666933, 0.0005594171234406531, 0.007686831522732973]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 12, 1474      , 	[0.8, 1.0],		[5.0, 7.0],		[-0.013223113492131233, 4.325451664044522e-05, 0.012047127820551395]
Jpsi   , 12, 12, 6897      , 	[0.8, 1.0],		[5.0, 7.0],		[-0.014789788983762263, -0.003359213471412659, -0.0021938506979495287, -0.0014730292605236173, -0.0009110110113397241, -0.0004296243423596025, 2.731208587647416e-05, 0.00048792807501740754, 0.0009758395608514547, 0.0015487216878682375, 0.002279877196997404, 0.003476855810731649, 0.014699071645736694]
DY+Jpsi, 12, 12, 7143      , 	[0.8, 1.0],		[5.0, 7.0],		[-0.014789788983762263, -0.0033567184582352643, -0.002191925887018442, -0.0014714563731104136, -0.0009102530893869697, -0.0004296243423596025, 2.7826381483464502e-05, 0.0004862175555899738, 0.0009732897160574793, 0.001544002559967339, 0.002273406833410263, 0.0034696673974394803, 0.014699071645736694]
DY     , 6 , 12, 2136      , 	[0.8, 1.0],		[7.0, 10.0],		[-0.012773293070495129, -0.0019545182585716248, -0.0008417390054091811, -1.2767415000780602e-06, 0.0008441285463050008, 0.0019062507199123502, 0.014968710951507092]
Jpsi   , 12, 12, 5562      , 	[0.8, 1.0],		[7.0, 10.0],		[-0.014960124157369137, -0.002930633723735809, -0.0019287996692582965, -0.0013028783723711967, -0.0008050781907513738, -0.0003734853235073388, 3.609257692005485e-05, 0.00042425771243870264, 0.000852254219353199, 0.0013456054730340838, 0.001967414747923613, 0.002970555331557989, 0.01456249784678221]
DY+Jpsi, 12, 12, 6631      , 	[0.8, 1.0],		[7.0, 10.0],		[-0.014960124157369137, -0.0029283487237989902, -0.001933065941557288, -0.001307953498326242, -0.0008129124762490393, -0.0003809524059761316, 3.0195433282642625e-05, 0.00042033501085825264, 0.0008513428037986159, 0.0013413118431344626, 0.001957212807610631, 0.002961802063509822, 0.014968710951507092]
DY     , 12, 12, 3560      , 	[0.8, 1.0],		[10.0, 14.0],		[-0.014191706664860249, -0.002633491763845086, -0.0017584983725100756, -0.0011924944119527936, -0.0007580418023280799, -0.00038504338590428233, -3.090379686909728e-05, 0.0003330727922730148, 0.0007176632643677294, 0.0011528989998623729, 0.0017052647890523076, 0.002569995354861021, 0.014376215636730194]
Jpsi   , 12, 12, 3033      , 	[0.8, 1.0],		[10.0, 14.0],		[-0.013638892211019993, -0.002593495650216937, -0.0017070206813514233, -0.001160582760348916, -0.0007150741876102983, -0.00032612832728773355, 3.410697536310181e-05, 0.00039717956678941846, 0.0007807305664755403, 0.0012306299759075046, 0.0017968751490116122, 0.00268772104755044, 0.014137850143015385]
DY+Jpsi, 12, 12, 6594      , 	[0.8, 1.0],		[10.0, 14.0],		[-0.014191706664860249, -0.002615709323436022, -0.0017323702340945601, -0.001177143189124763, -0.0007411911501549183, -0.00036055140662938356, -1.2825760222767713e-06, 0.00036422882112674415, 0.0007432550191879272, 0.0011872563045471907, 0.001747256494127214, 0.002621428342536092, 0.014376215636730194]
DY     , 12, 12, 14316     , 	[0.8, 1.0],		[14.0, 20.0],		[-0.013981256633996964, -0.0023693048860877752, -0.0015970494132488966, -0.0010995622724294662, -0.0007009416003711522, -0.00035191711504012346, -2.618856706249062e-05, 0.0003009250503964722, 0.000647546723484993, 0.0010362957837060094, 0.0015311313327401876, 0.002294485690072179, 0.014810706488788128]
Jpsi   , 7 , 12, 2192      , 	[0.8, 1.0],		[14.0, 20.0],		[-0.014927826821804047, -0.0017720269970595837, -0.0009006977779790758, -0.0002688893291633576, 0.00032508288859389717, 0.0009468869538977742, 0.0018114132108166812, 0.014084297232329844]
DY+Jpsi, 12, 12, 15594     , 	[0.8, 1.0],		[14.0, 20.0],		[-0.014927826821804047, -0.0023701218888163567, -0.0015967077342793345, -0.001097885426133871, -0.0006990554975345731, -0.0003493058029562235, -2.215319727838505e-05, 0.00030646289815194905, 0.0006540430476889014, 0.0010440513724461198, 0.0015388596802949905, 0.002303647343069315, 0.014810706488788128]
DY     , 12, 12, 33608     , 	[0.8, 1.0],		[20.0, 27.0],		[-0.014739330857992172, -0.002177875256165862, -0.001476142555475235, -0.0010190756293013692, -0.000652063696179539, -0.000326563575072214, -2.548796146584209e-05, 0.00027760196826420724, 0.0006000794819556177, 0.0009623166988603771, 0.001416138606145978, 0.002106765052303672, 0.014768974855542183]
Jpsi   , 2 , 12, 2010      , 	[0.8, 1.0],		[20.0, 27.0],		[-0.0059413472190499314, 3.643046147772111e-05, 0.00995029229670763]
DY+Jpsi, 12, 12, 33943     , 	[0.8, 1.0],		[20.0, 27.0],		[-0.014739330857992172, -0.002176571637392044, -0.0014749506954103708, -0.0010183105478063226, -0.0006512628169730306, -0.00032609410118311644, -2.4905673853936605e-05, 0.00027860995032824576, 0.0006008335039950907, 0.000963219499681145, 0.0014167804038152099, 0.0021086165215820074, 0.014768974855542183]
DY     , 12, 12, 97878     , 	[0.8, 1.0],		[27.0, 38.0],		[-0.01494559459388256, -0.0020209422800689936, -0.0013794288970530033, -0.0009559236350469291, -0.0006164789665490389, -0.00031311376369558275, -2.8934467991348356e-05, 0.0002584245230536908, 0.000559257110580802, 0.0008976995595730841, 0.0013171621831133962, 0.0019554891623556614, 0.014712614938616753]
Jpsi   , 2 , 12, 702       , 	[0.8, 1.0],		[27.0, 38.0],		[-0.007843137718737125, -2.2342745069181547e-05, 0.00571648683398962]
DY+Jpsi, 12, 12, 97995     , 	[0.8, 1.0],		[27.0, 38.0],		[-0.01494559459388256, -0.0020208663772791624, -0.0013793740654364228, -0.0009558937163092196, -0.0006164869992062449, -0.0003131327102892101, -2.893249984481372e-05, 0.00025842979084700346, 0.0005592720117419958, 0.000897758814971894, 0.0013172229519113898, 0.001955566229298711, 0.014712614938616753]
DY     , 12, 12, 144490    , 	[0.8, 1.0],		[38.0, 50.0],		[-0.014813736081123352, -0.0018793229246512055, -0.0012792410561814904, -0.0008802982629276812, -0.0005580185679718852, -0.00027095325640402734, 2.8624758670048323e-06, 0.0002767786500044167, 0.0005651958636008203, 0.0008881147368811071, 0.0012895310064777732, 0.001892980420961976, 0.014535179361701012]
Jpsi   , 2 , 12, 154       , 	[0.8, 1.0],		[38.0, 50.0],		[-0.0050968597643077365, -2.520675843697973e-05, 0.005060306284576654]
DY+Jpsi, 12, 12, 144516    , 	[0.8, 1.0],		[38.0, 50.0],		[-0.014813736081123352, -0.0018793429480865598, -0.0012792543275281787, -0.0008803220116533339, -0.0005580291035585105, -0.00027096536359749734, 2.8566519176820293e-06, 0.0002767674741335213, 0.0005651995306834579, 0.0008881529793143272, 0.0012895602267235518, 0.0018929839134216309, 0.014535179361701012]
DY     , 12, 12, 58068     , 	[0.8, 1.0],		[50.0, 75.0],		[-0.01464883890002966, -0.0017699617892503738, -0.0011995158856734633, -0.0008183769532479346, -0.0005085454322397709, -0.0002318932965863496, 2.973266236949712e-05, 0.00029353785794228315, 0.0005726320669054985, 0.0008871377212926745, 0.0012723450781777501, 0.0018527890788391232, 0.01499656867235899]
Jpsi   , 2 , 12, 43        , 	[0.8, 1.0],		[50.0, 75.0],		[-0.005119354929775, 8.476862421957776e-05, 0.002832822501659393]
DY+Jpsi, 12, 12, 58075     , 	[0.8, 1.0],		[50.0, 75.0],		[-0.01464883890002966, -0.0017699617892503738, -0.0011995249660685658, -0.0008184122270904481, -0.0005085380980744958, -0.00023187734768725932, 2.975151983264368e-05, 0.0002935399825219065, 0.000572645221836865, 0.0008871565805748105, 0.0012723625404760242, 0.0018528030486777425, 0.01499656867235899]
DY     , 12, 12, 11479     , 	[0.8, 1.0],		[75.0, 100.0],		[-0.014705989509820938, -0.0017037041252478957, -0.001157604157924652, -0.0007922570803202689, -0.0004964902764186263, -0.00022924911172594875, 2.7595275241765194e-05, 0.0002809378784149885, 0.0005519275437109172, 0.0008517702808603644, 0.001225625746883452, 0.0017773021245375276, 0.012543401680886745]
Jpsi   , 2 , 12, 7         , 	[0.8, 1.0],		[75.0, 100.0],		[-0.0016723443986847995, 7.346484198933467e-05, 0.002317037200555205]
DY+Jpsi, 12, 12, 11480     , 	[0.8, 1.0],		[75.0, 100.0],		[-0.014705989509820938, -0.001703555346466601, -0.0011577248806133866, -0.0007922570803202689, -0.0004964902764186263, -0.00022924911172594875, 2.7595275241765194e-05, 0.0002809378784149885, 0.0005519275437109172, 0.0008517569513060153, 0.0012255714973434806, 0.0017773021245375276, 0.012543401680886745]
DY     , 12, 12, 5037      , 	[0.8, 1.0],		[100.0, 150.0],		[-0.011071027256548405, -0.0016802707687020302, -0.0011415045009925961, -0.000780498085077852, -0.00048207544023171067, -0.00022014399291947484, 3.2921241654548794e-05, 0.000287358503555879, 0.0005552426446229219, 0.0008388122660107911, 0.0011969301849603653, 0.0017413030145689845, 0.012446661479771137]
Jpsi   , 2 , 12, 2         , 	[0.8, 1.0],		[100.0, 150.0],		[-0.0013574673794209955, -0.001170119387097657, 0.004980734549462795]
DY+Jpsi, 12, 12, 5037      , 	[0.8, 1.0],		[100.0, 150.0],		[-0.011071027256548405, -0.0016802707687020302, -0.0011417005443945527, -0.0007808622904121876, -0.00048227692604996264, -0.00022026912483852357, 3.288144216639921e-05, 0.0002873203484341502, 0.0005552426446229219, 0.0008388189016841352, 0.0011971443891525269, 0.0017415332840755582, 0.012446661479771137]
DY     , 5 , 12, 2349      , 	[0.8, 1.0],		[150.0, 200.0],		[-0.010019681416451931, -0.0009545051725581288, -0.0002635070704855025, 0.0003211825678590685, 0.001043400727212429, 0.013517740182578564]
Jpsi   , -1, 12, 0         , 	[0.8, 1.0],		[150.0, 200.0],		[None, None]
DY+Jpsi, 5 , 12, 2349      , 	[0.8, 1.0],		[150.0, 200.0],		[-0.010019681416451931, -0.0009545051725581288, -0.0002635070704855025, 0.0003211825678590685, 0.001043400727212429, 0.013517740182578564]
DY     , 3 , 12, 2059      , 	[0.8, 1.0],		[200.0, 1000],		[-0.005358840338885784, -0.00043976851156912744, 0.0005483395070768893, 0.010782014578580856]
Jpsi   , 2 , 12, 0         , 	[0.8, 1.0],		[200.0, 1000],		[-0.0003454924735706334, -0.00034549247357062995, -0.00034549247357062995]
DY+Jpsi, 3 , 12, 2060      , 	[0.8, 1.0],		[200.0, 1000],		[-0.005358840338885784, -0.00043938116868957877, 0.0005483395070768893, 0.010782014578580856]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 12, 2572      , 	[1.0, 1.25],		[5.0, 7.0],		[-0.013000638224184513, -5.979529669275507e-05, 0.013639352284371853]
Jpsi   , 12, 12, 8151      , 	[1.0, 1.25],		[5.0, 7.0],		[-0.014824224635958672, -0.003447077702730894, -0.002260921522974968, -0.0015095325652509928, -0.0009387001628056167, -0.00043203184031881387, 3.551047120708972e-05, 0.0005001153913326561, 0.0010039653861895204, 0.001580650918185711, 0.002331838244572282, 0.00353945349343121, 0.01474612858146429]
DY+Jpsi, 12, 12, 8579      , 	[1.0, 1.25],		[5.0, 7.0],		[-0.014824224635958672, -0.003448437200859189, -0.002265360439196229, -0.0015130805550143125, -0.0009430118952877821, -0.0004372677067294717, 3.0217646781238734e-05, 0.0004953923053108156, 0.0009976178407669067, 0.001572904991917312, 0.0023253723047673702, 0.00353457685559988, 0.01474612858146429]
DY     , 9 , 12, 2206      , 	[1.0, 1.25],		[7.0, 10.0],		[-0.014212219044566154, -0.0026693062391132116, -0.0016093483427539468, -0.0009107961668632925, -0.0003288793668616563, 0.00020217557903379202, 0.0007835334981791675, 0.0014862531097605824, 0.0025433965492993593, 0.014898369088768959]
Jpsi   , 12, 12, 6513      , 	[1.0, 1.25],		[7.0, 10.0],		[-0.014874394983053209, -0.0030053486116230488, -0.0019473087741062047, -0.0012969439849257471, -0.0008027197909541428, -0.00037647256976924837, 3.279587690485641e-05, 0.00044289717334322626, 0.0008788506966084242, 0.001391393132507801, 0.0020397058688104157, 0.003071008250117302, 0.01410701684653759]
DY+Jpsi, 12, 12, 8168      , 	[1.0, 1.25],		[7.0, 10.0],		[-0.014874394983053209, -0.003030237974599004, -0.0019718920812010765, -0.0013233092613518238, -0.0008218120783567429, -0.00039451129850931466, 1.4389285752258731e-05, 0.0004242928116582334, 0.0008610242512077093, 0.001370177837088704, 0.002016505692154169, 0.0030499885324388742, 0.014898369088768959]
DY     , 12, 12, 5242      , 	[1.0, 1.25],		[10.0, 14.0],		[-0.014453803189098835, -0.002683790633454919, -0.0017801598878577352, -0.0012267340207472444, -0.0007797907455824316, -0.00040090925176627934, -3.3981978049268946e-05, 0.0003283712430857122, 0.0007143847760744393, 0.00114634248893708, 0.001715788384899497, 0.0025947128888219595, 0.014838998205959797]
Jpsi   , 12, 12, 3535      , 	[1.0, 1.25],		[10.0, 14.0],		[-0.013752277940511705, -0.0026838581543415785, -0.0017655770061537626, -0.0011720650363713505, -0.0007255551172420382, -0.0003453945682849735, 2.206397948611993e-05, 0.00039416190702468157, 0.000784821342676878, 0.0012375660007819533, 0.0018253468442708254, 0.002731660380959511, 0.014799024909734724]
